timestamp,serial,event_type,old_value,new_value,details
2026-09-13 18:53:48,52000a84b2b21305,CA_CHANGED,False,True,
2026-09-13 18:53:48,R5CR303YMGD,IP_CHANGED,N/A,10.115.0.123,
2026-09-13 18:53:49,R5CR303YMGD,NETWORK_CHANGED,N/A,"LTE,Unknown",
2026-09-13 18:55:22,R5CR303YMGD,IP_CHANGED,10.115.0.123,N/A,
2026-09-13 18:55:22,R5CR303YMGD,NETWORK_CHANGED,"LTE,Unknown",N/A,
2026-09-13 18:55:53,R5CR303YMGD,IP_CHANGED,N/A,10.115.0.123,
2026-09-13 18:55:53,R5CR303YMGD,NETWORK_CHANGED,N/A,"LTE,Unknown",
2026-09-13 18:57:57,52000a84b2b21305,CA_CHANGED,True,False,
2026-09-13 18:58:29,52000a84b2b21305,CA_CHANGED,False,True,
2026-09-13 18:59:31,52000a84b2b21305,CA_CHANGED,True,False,
2026-09-13 19:00:02,52000a84b2b21305,CA_CHANGED,False,True,
2026-09-13 19:01:35,52000a84b2b21305,CA_CHANGED,True,False,
2026-09-13 19:02:06,52000a84b2b21305,CA_CHANGED,False,True,
2026-09-13 19:02:37,R5CR303YMGD,ADB_DISCONNECTED,,,
2026-09-13 19:03:07,R5CR303YMGD,ADB_CONNECTED,,,
2026-09-13 19:05:44,52000a84b2b21305,CA_CHANGED,True,False,
2026-09-13 19:06:15,52000a84b2b21305,CA_CHANGED,False,True,
2026-09-13 19:06:46,52000a84b2b21305,CA_CHANGED,True,False,
2026-09-13 19:07:17,52000a84b2b21305,CA_CHANGED,False,True,
2026-09-13 19:07:48,52000a84b2b21305,CA_CHANGED,True,False,
2026-09-13 19:08:20,52000a84b2b21305,CA_CHANGED,False,True,
2026-09-13 19:09:53,52000a84b2b21305,CA_CHANGED,True,False,
2026-09-13 19:10:24,52000a84b2b21305,CA_CHANGED,False,True,
2026-09-13 19:11:27,52000a84b2b21305,CA_CHANGED,True,False,
2026-09-13 19:12:29,52000a84b2b21305,CA_CHANGED,False,True,
2026-09-13 19:14:03,52000a84b2b21305,CA_CHANGED,True,False,
2026-09-13 19:14:03,R5CR303YMGD,IP_CHANGED,10.115.0.123,N/A,
2026-09-13 19:14:03,R5CR303YMGD,NETWORK_CHANGED,"LTE,Unknown",N/A,
2026-09-13 19:14:34,52000a84b2b21305,CA_CHANGED,False,True,
2026-09-13 19:14:34,R5CR303YMGD,IP_CHANGED,N/A,10.115.0.123,
2026-09-13 19:14:34,R5CR303YMGD,NETWORK_CHANGED,N/A,"LTE,Unknown",
2026-09-13 19:15:05,52000a84b2b21305,CA_CHANGED,True,False,
2026-09-13 19:15:36,52000a84b2b21305,CA_CHANGED,False,True,
2026-09-13 19:19:14,52000a84b2b21305,CA_CHANGED,True,False,
2026-09-13 19:20:17,52000a84b2b21305,CA_CHANGED,False,True,
2026-09-13 19:20:48,R5CR303YMGD,IP_CHANGED,10.115.0.123,N/A,
2026-09-13 19:20:48,R5CR303YMGD,NETWORK_CHANGED,"LTE,Unknown",N/A,
2026-09-13 19:21:19,R5CR303YMGD,IP_CHANGED,N/A,10.115.0.123,
2026-09-13 19:21:19,R5CR303YMGD,NETWORK_CHANGED,N/A,"LTE,Unknown",
2026-09-13 19:22:21,52000a84b2b21305,CA_CHANGED,True,False,
2026-09-13 19:22:52,52000a84b2b21305,CA_CHANGED,False,True,
2026-09-13 19:24:56,R5CR303YMGD,IP_CHANGED,10.115.0.123,N/A,
2026-09-13 19:24:56,R5CR303YMGD,NETWORK_CHANGED,"LTE,Unknown",N/A,
2026-09-13 19:25:26,R5CR303YMGD,ADB_DISCONNECTED,,,
2026-09-13 19:25:27,52000a84b2b21305,CA_CHANGED,True,False,
2026-09-13 19:25:57,52000a84b2b21305,CA_CHANGED,False,True,
2026-09-13 19:26:27,R5CR303YMGD,ADB_CONNECTED,,,
2026-09-13 19:26:29,R5CR303YMGD,IP_CHANGED,N/A,10.115.0.123,
2026-09-13 19:26:29,R5CR303YMGD,NETWORK_CHANGED,N/A,"LTE,Unknown",
2026-09-13 19:26:59,52000a84b2b21305,CA_CHANGED,True,False,
2026-09-13 19:28:01,52000a84b2b21305,CA_CHANGED,False,True,
2026-09-13 19:28:33,R5CR303YMGD,IP_CHANGED,10.115.0.123,N/A,
2026-09-13 19:28:33,R5CR303YMGD,NETWORK_CHANGED,"LTE,Unknown",N/A,
2026-09-13 19:29:04,52000a84b2b21305,CA_CHANGED,True,False,
2026-09-13 19:29:05,R5CR303YMGD,IP_CHANGED,N/A,10.115.0.123,
2026-09-13 19:29:05,R5CR303YMGD,NETWORK_CHANGED,N/A,"LTE,Unknown",
2026-09-13 19:29:35,52000a84b2b21305,CA_CHANGED,False,True,
2026-09-13 19:32:11,R5CR303YMGD,IP_CHANGED,10.115.0.123,N/A,
2026-09-13 19:32:11,R5CR303YMGD,NETWORK_CHANGED,"LTE,Unknown",N/A,
2026-09-13 19:32:41,R5CR303YMGD,ADB_DISCONNECTED,,,
2026-09-13 19:33:11,R5CR303YMGD,ADB_CONNECTED,,,
2026-09-13 19:33:12,R5CR303YMGD,IP_CHANGED,N/A,10.115.0.123,
2026-09-13 19:33:12,R5CR303YMGD,NETWORK_CHANGED,N/A,"LTE,Unknown",
2026-09-13 19:34:14,52000a84b2b21305,CA_CHANGED,True,False,
2026-09-13 19:35:47,52000a84b2b21305,CA_CHANGED,False,True,
2026-09-13 22:03:32,52000a84b2b21305,ADB_CONNECTED,,,
2026-09-13 22:05:04,52000a84b2b21305,CA_CHANGED,True,False,
2026-09-13 22:06:35,52000a84b2b21305,CA_CHANGED,False,True,
2026-09-13 22:13:42,52000a84b2b21305,CA_CHANGED,True,False,
2026-09-13 22:14:43,52000a84b2b21305,CA_CHANGED,False,True,
2026-09-13 22:15:13,52000a84b2b21305,CA_CHANGED,True,False,
2026-09-13 22:16:44,52000a84b2b21305,CA_CHANGED,False,True,
2026-09-13 22:17:45,52000a84b2b21305,CA_CHANGED,True,False,
2026-09-13 22:18:16,52000a84b2b21305,CA_CHANGED,False,True,
2026-09-13 22:18:46,52000a84b2b21305,CA_CHANGED,True,False,
